Date,Time,Channel,BPM,Tower,Antenna,Power,L_ID,T_Lat,T_Long,T_N,T_E,EstAzimuth
4/21/2019,17:48:31,87,35.8,T1_02,2,63,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,113
4/21/2019,17:48:51,87,35.8,T1_02,2,65,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,113
4/21/2019,17:48:52,87,35.8,T1_02,2,60,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,113
4/21/2019,17:48:54,87,35.8,T1_02,2,60,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,113
4/21/2019,17:49:16,87,35.8,T1_02,2,62,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,113
4/21/2019,17:49:17,87,35.8,T1_02,2,61,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,113
4/21/2019,17:49:39,87,35.8,T1_02,2,59,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,113
4/21/2019,17:49:41,87,35.8,T1_02,2,61,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,113
4/21/2019,17:58:50,87,36.6,T1_02,2,58,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,113
4/21/2019,17:58:52,87,36.5,T1_02,2,55,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,113
4/21/2019,17:58:54,87,36.6,T1_02,2,56,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,113
4/21/2019,17:59:40,87,36.6,T1_02,2,62,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,113
4/21/2019,18:00:02,87,36.7,T1_02,2,61,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,113
4/21/2019,18:00:04,87,36.7,T1_02,2,62,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,113
4/21/2019,18:00:06,87,36.7,T1_02,2,64,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,113
4/21/2019,18:00:27,87,36.7,T1_02,2,68,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,113
4/21/2019,18:00:29,87,36.7,T1_02,2,63,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,113
4/21/2019,18:00:30,87,36.7,T1_02,2,66,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,113
4/21/2019,18:00:52,87,36.7,T1_02,2,67,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,113
4/21/2019,18:00:53,87,36.6,T1_02,2,69,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,113
4/21/2019,18:01:15,87,36.6,T1_02,2,77,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,113
4/21/2019,18:01:16,87,36.6,T1_02,2,75,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,113
4/21/2019,18:01:18,87,36.6,T1_02,2,76,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,113
4/21/2019,18:01:21,87,36.6,T1_02,3,58,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,174
